GazeX;GazeY;HeadX;HeadY;HeadZ;HeadYaw;HeadPitch;HeadRoll;rx;ry;rw;rh;state;time;FrameNr;Xview;Yview;docX;docY
882;451;-0.4;-6.7;56.9;-3.1;6.7;2.2;233;134;168;168;0;1,59509E+12;710;0.6456808199121523;0.6301369863013698;882;414
937;392.8;-0.5;-6.7;53.4;-3.8;4.6;3.5;235;137;161;161;0;1,59509E+12;711;0.6859443631039531;0.5415525114155252;937;355.8
978;371.2;-0.7;-6.7;53.6;-3.9;4.6;3.1;235;136;161;161;0;1,59509E+12;712;0.7159590043923866;0.508675799086758;978;334.2
1018;390.8;-0.7;-6.7;53.5;-3.9;3.9;2.9;235;136;161;161;0;1,59509E+12;713;0.7452415812591509;0.5385083713850838;1018;353.8
1026.2;394.4;-0.6;-6.6;53.3;-3.8;3.5;2.8;235;136;161;161;0;1,59509E+12;714;0.7512445095168375;0.5439878234398782;1026.2;357.4
1030.4;386.6;-0.6;-6.6;53.2;-3.7;4;2.5;235;136;161;161;0;1,59509E+12;715;0.7543191800878478;0.5321156773211568;1030.4;349.6
1042.4;393;-0.6;-6.6;53.2;-3.5;4;2.2;235;137;162;162;0;1,59509E+12;716;0.763103953147877;0.5418569254185692;1042.4;356
1033;388.8;-0.6;-6.8;53.6;-3;6.9;2.6;235;135;160;160;0;1,59509E+12;717;0.7562225475841874;0.5354642313546424;1033;351.8
692;205;-0.5;-6.8;52.4;-2.3;8.8;2.8;235;135;160;160;0;1,59509E+12;718;0.5065885797950219;0.2557077625570776;692;168
352;407;-0.6;-7;52.6;-2.5;11.6;3.3;234;131;163;163;0;1,59509E+12;719;0.25768667642752563;0.563165905631659;352;370
236;437.4;-0.6;-7.1;53;-2.9;12.4;3.7;234;132;162;162;0;1,59509E+12;720;0.17276720351390923;0.6094368340943683;236;400.4
207.8;420;-0.6;-7.1;52.9;-2.7;11.5;3.8;234;131;164;164;0;1,59509E+12;721;0.15212298682284042;0.5829528158295282;207.8;383
174.4;358.4;-0.5;-7.1;52.5;-2.6;11.8;3.5;234;131;164;164;0;1,59509E+12;722;0.12767203513909225;0.48919330289193297;174.4;321.4
168.6;347.4;-0.5;-7;52.3;-2.6;10.7;3.7;234;131;164;164;0;1,59509E+12;723;0.12342606149341141;0.47245053272450527;168.6;310.4
143.2;331;-0.5;-7;52.3;-2.8;10.4;3.7;234;131;164;164;0;1,59509E+12;724;0.1048316251830161;0.4474885844748858;143.2;294
79.2;332;-0.5;-7;52.3;-2.7;10.3;3.5;234;131;164;164;0;1,59509E+12;725;0.057979502196193265;0.4490106544901065;79.2;295
83.2;308.6;-0.4;-6.9;51.9;-2.4;11.3;2.8;234;131;164;164;0;1,59509E+12;726;0.06090775988286969;0.41339421613394217;83.2;271.6
51.8;337.6;-0.5;-6.9;52;-2.4;11.5;2.6;234;131;164;164;0;1,59509E+12;727;0.03792093704245973;0.4575342465753425;51.8;300.6
27.4;331;-0.5;-7;52.1;-2.4;11.7;2.1;234;131;164;164;0;1,59509E+12;728;0.020058565153733526;0.4474885844748858;27.4;294
14.2;327.2;-0.5;-6.9;51.9;-2.3;12.2;1.7;234;131;164;164;0;1,59509E+12;729;0.010395314787701317;0.44170471841704717;14.2;290.2
-10.8;322.4;-0.5;-6.9;51.9;-2.3;12.4;1.3;234;131;164;164;0;1,59509E+12;730;-0.001581259150805271;0.43439878234398777;-2.16;285.4
-33.8;343.8;-0.4;-7;52.2;-2.2;12.7;0.9;234;131;164;164;0;1,59509E+12;731;-0.004948755490483163;0.4669710806697108;-6.76;306.8
-31;301.4;-0.1;-6.8;51.4;-1.6;12;0.3;234;131;164;164;0;1,59509E+12;732;-0.004538799414348463;0.40243531202435306;-6.2;264.4
11.2;315.4;-0.1;-6.9;51.7;-1.2;11.5;-0.1;234;131;164;164;0;1,59509E+12;733;0.008199121522693996;0.42374429223744287;11.2;278.4
14.8;316.4;-0.1;-6.9;52;-1.2;11.4;-0.2;234;131;164;164;0;1,59509E+12;734;0.010834553440702782;0.42526636225266357;14.8;279.4
1.2;282.4;-0.2;-6.8;51.4;-1.4;10.6;-0.2;234;131;164;164;0;1,59509E+12;735;0.0008784773060029282;0.37351598173515976;1.2;24.539.999.999.999.900
1.6;241.4;-0.3;-6.7;51.2;-1.4;11.4;-0.2;234;131;164;164;0;1,59509E+12;736;0.001171303074670571;0.3111111111111111;1.6;204.4
9.6;211.8;-0.5;-6.7;51.3;-1.6;11.6;0;234;131;164;164;0;1,59509E+12;737;0.0070278184480234256;0.2660578386605784;9.6;174.8
53.4;165.6;-0.5;-6.7;51.1;-1.6;11.3;0.1;234;131;164;164;0;1,59509E+12;738;0.039092240117130306;0.19573820395738203;53.4;128.6
77;153.2;-0.5;-6.7;51.2;-1.7;11;0.1;234;131;164;164;0;1,59509E+12;739;0.05636896046852123;0.17686453576864533;77;11.619.999.999.999.900
76.4;121.4;-0.4;-6.7;51.4;-1.4;11.8;-0.1;234;131;164;164;0;1,59509E+12;740;0.05592972181551977;0.1284627092846271;76.4;84.4
90.4;87;-0.3;-6.7;51.2;-1.2;12.1;-0.2;234;131;164;164;0;1,59509E+12;741;0.06617862371888726;0.076103500761035;90.4;50
96.8;71.4;-0.3;-6.6;50.9;-1.1;11.9;-0.2;234;131;164;164;0;1,59509E+12;742;0.07086383601756954;0.05235920852359209;96.8;34.400.000.000.000.000
